# of Topics,coherence
2,0.6262247838150171
4,0.6759478187921957
6,0.6030555553661204
8,0.626663639010616
10,0.6228335392906363
12,0.6151259858405219
14,0.6037161022901021
16,0.6276756502820297
18,0.6231567793540775
20,0.6220036635088622
22,0.6062825745262381
24,0.5789949375885081
26,0.5892142117003456
28,0.6138235512828816
30,0.6396840074016475
32,0.6084260926623478
34,0.5931779789809273
36,0.6366785816874011
38,0.6348072655024307
